dataset_file,file_id,source_relpath,source_id,rows_raw,rows_undated,rows_copies_removed,rows_canonical,status
primary,rf_9a8ba3ecab,user01/phase_a/demo_user01_20250825T222151_20250826T042430.txt,user01_phase_a,10764,0,0,10764,
primary,rf_3307a35079,user01/phase_a/demo_user01_20250826T211016_20250827T015655.txt,user01_phase_a,8496,0,0,8496,
primary,rf_10c4c94784,user01/phase_a/demo_user01_20250828T221340_20250829T042157.txt,user01_phase_a,10926,0,0,10926,
primary,rf_48cc940196,user01/phase_a/demo_user01_20250829T214146_20250830T021144.txt,user01_phase_a,8009,0,0,8009,
primary,rf_f040df886e,user01/phase_a/demo_user01_20250830T211047_20250831T024005.txt,user01_phase_a,9773,0,0,9773,
primary,rf_4180c655a0,user01/phase_a/demo_user01_20250831T211500_20250901T015416.txt,user01_phase_a,8276,0,0,8276,
primary,rf_dd7a2327cb,user01/phase_b/1105_log.txt,user01_phase_b,14033,0,0,14033,
primary,rf_6d8210dc51,user01/phase_b/1106_log.txt,user01_phase_b,14275,0,0,14275,
primary,rf_ecaa1bff83,user01/phase_b/1107_log.txt,user01_phase_b,14069,0,0,14069,
primary,rf_69145b895e,user01/phase_b/1108_log.txt,user01_phase_b,14378,0,0,14378,
primary,rf_dc4675be00,user01/phase_b/1109_log.txt,user01_phase_b,13988,0,0,13988,
primary,rf_c0a9229494,user01/phase_b/1110_log.txt,user01_phase_b,14660,0,0,14660,
primary,rf_873598afeb,user01/phase_b/1111_log.txt,user01_phase_b,15160,0,0,15160,
primary,rf_abc9e486d2,user01/phase_b/1112_log_누락부분있음.txt,user01_phase_b,10709,0,0,10709,
primary,rf_aa86b9b534,user01/phase_b/1113_log.txt,user01_phase_b,14344,0,0,14344,
primary,rf_a5c4733c94,user01/phase_b/1114_log.txt,user01_phase_b,14757,0,0,14757,
primary,rf_a4bf69998a,user01/phase_b/1115_log.txt,user01_phase_b,14786,0,0,14786,
primary,rf_1d587d8993,user01/phase_b/1116_log.txt,user01_phase_b,15083,0,0,15083,
primary,rf_6d82e64e8c,user01/phase_b/1117_log.txt,user01_phase_b,14418,0,0,14418,
primary,rf_6c172ff1a9,user01/phase_b/1118_log.txt,user01_phase_b,13734,0,0,13734,
primary,rf_e917a2322a,user01/phase_b/1119_log.txt,user01_phase_b,16186,0,0,16186,
primary,rf_3d5740dfdd,user01/phase_b/1120_log.txt,user01_phase_b,14386,0,0,14386,
primary,rf_4561ab8e5a,user01/phase_b/1121_log.txt,user01_phase_b,7540,0,0,7540,
primary,rf_f3d3391b94,user01/phase_b/1122_log.txt,user01_phase_b,8196,0,0,8196,
primary,rf_0e806968b6,user01/phase_b/1123_log.txt,user01_phase_b,7088,0,0,7088,
primary,rf_fd09e7788d,user01/phase_b/1124_log.txt,user01_phase_b,7014,0,0,7014,
primary,rf_e556232b58,user01/phase_b/1125_log.txt,user01_phase_b,7807,0,0,7807,
primary,rf_a6d99de522,user01/phase_b/1126_log.txt,user01_phase_b,9701,0,0,9701,
primary,rf_b966e9a79b,user01/phase_b/1127_log.txt,user01_phase_b,11430,0,0,11430,
primary,rf_88b97026a1,user01/phase_b/1128_log.txt,user01_phase_b,14190,0,0,14190,
primary,rf_11488df3a6,user01/phase_b/1129_log.txt,user01_phase_b,16085,0,0,16085,
primary,rf_e034229409,user01/phase_b/1130_log.txt,user01_phase_b,13699,0,0,13699,
primary,rf_299a30e064,user01/phase_b/1201_log.txt,user01_phase_b,14144,0,0,14144,
primary,rf_fe2ddf3072,user01/phase_b/1202_log.txt,user01_phase_b,14609,0,0,14609,
