dataset_file,subject_id,device_id,role,rows_raw,rows_undated,rows_copies_removed,rows_canonical,duplicate_groups,sessions,bridged_gaps,same_timestamp_groups,rows_in_same_timestamp_groups,target_invalid_rows,pressure_invalid_rows,pressure_upper_bound_rows,pressure_upper_bound_cells,pressure_all_zero_rows,events_redacted,dot_separator_rows,device_column_mismatch_rows,decimal_notation_rows,raw_out_of_order_steps,reconciles,target_flag_ok,target_flag_zero_sentinel,target_flag_extreme_glitch,files,status,detail
primary,User01,unknown,primary_candidate,2248820,0,96616,2152204,96616,157,0,4047,8094,2412,0,264427,275601,85004,0,0,0,0,0,True,2149792,2412,,,,
primary,User02,22480,primary_candidate,431471,0,33007,398464,25805,47,0,1008,2016,58,0,17,17,10268,0,0,0,0,0,True,398406,58,,,,
primary,User02,22482,primary_candidate,635126,0,40810,594316,31207,58,13,1332,2664,1516,0,0,0,42357,0,0,0,0,1,True,592800,1369,147,,,
primary,User07,unknown,primary_candidate,1008456,0,17381,991075,17381,102,0,4862,9724,146,0,0,0,31028,0,0,0,0,0,True,990929,146,,,,
auxiliary,User02,unknown,auxiliary,71370,0,0,71370,0,7,0,3015,71369,0,0,36375,36378,3264,0,0,0,0,0,True,71370,,,,,
auxiliary,User03,unknown,auxiliary,107256,0,0,107256,0,7,0,5096,107249,20,0,25932,27327,25084,0,0,0,0,0,True,107236,20,,,,
none,User01,not_applicable,restricted_metadata,0,,,0,,,,,,,,,,,,,,,,,,,,0,not_sensor_data,
none,User02,unresolved,quarantined,22205,,,0,,,,,,,,,,,,,,,,,,,,2,quarantined,
none,User06,unknown,excluded_invalid,164185,,,0,,,,,,,,,,,,,,,,,,,,11,excluded,
TOTAL,,,,4688889,,,4314685,,,,,,,,,,,,,,,,,,,,,equation,4688889 raw sensor rows - 164185 excluded - 22205 quarantined - 178626 auxiliary (kept apart) - 187814 primary copies = 4136059 primary canonical rows; auxiliary: 178626 - 0 = 178626
