protocol_version,split_id,fold,held_out_subject,subject_id,device_id,session_id,sensor_phase,channel_quality_phase,partition,start_timestamp,end_timestamp,n_rows
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0001,s1,normal,test,D0001 22:21:51,D0002 04:24:30,10764
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0002,s1,normal,test,D0002 21:10:16,D0003 01:56:55,8496
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0003,s1,normal,test,D0004 22:13:40,D0005 04:21:57,10926
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0004,s1,normal,test,D0005 21:41:46,D0006 02:11:44,8009
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0005,s1,normal,test,D0006 21:10:47,D0007 02:40:05,9773
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0006,s1,normal,test,D0007 21:15:00,D0008 01:54:16,8276
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0007,s1,normal,test,D0073 19:23:17,D0074 07:06:23,14033
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0008,s1,normal,test,D0074 18:17:20,D0075 06:08:26,14275
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0009,s1,normal,test,D0075 18:47:34,D0076 06:48:12,14069
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0010,s1,normal,test,D0076 18:32:44,D0077 07:01:19,14378
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0011,s1,normal,test,D0077 18:13:39,D0078 06:07:55,13988
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0012,s1,normal,test,D0078 18:09:08,D0079 06:27:26,14660
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0013,s1,normal,test,D0079 17:39:02,D0080 06:21:39,15160
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0014,s1,normal,test,D0080 19:13:49,D0080 23:34:03,5365
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0015,s1,normal,test,D0081 02:28:30,D0081 06:54:02,5344
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0016,s1,normal,test,D0081 18:25:16,D0082 06:48:46,14344
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0017,s1,normal,test,D0082 17:39:24,D0083 07:04:28,14757
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0018,s1,normal,test,D0083 18:10:00,D0084 06:56:48,14786
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0019,s1,normal,test,D0084 18:08:52,D0085 06:51:02,15083
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0020,s1,normal,test,D0085 18:46:27,D0086 06:32:37,14418
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0021,s1,normal,test,D0086 18:56:48,D0087 06:27:22,13734
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0022,s1,normal,test,D0087 17:42:42,D0088 06:53:51,16186
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0023,s1,normal,test,D0088 18:42:14,D0089 06:27:56,14386
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0024,s1,normal,test,D0089 18:39:14,D0090 07:06:53,7540
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0025,s1,normal,test,D0090 19:09:36,D0091 08:36:29,8196
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0026,s1,normal,test,D0091 18:56:54,D0092 06:26:41,7088
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0027,s1,normal,test,D0092 20:29:38,D0093 06:42:45,7014
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0028,s1,normal,test,D0093 18:02:47,D0094 06:39:52,7807
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0029,s1,normal,test,D0094 17:00:46,D0095 06:30:06,9701
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0030,s1,normal,test,D0095 19:36:27,D0096 06:55:40,11430
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0031,s1,normal,test,D0096 18:17:43,D0097 06:25:01,14190
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0032,s1,normal,test,D0097 18:26:39,D0098 07:53:16,16085
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0033,s1,normal,test,D0098 18:33:28,D0099 06:19:46,13699
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0034,s1,normal,test,D0099 18:14:39,D0100 06:36:17,14144
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0035,s1,normal,test,D0100 18:25:40,D0101 07:14:48,14609
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0036,s1,normal,test,D0101 18:52:37,D0102 06:53:17,13333
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0037,s1,normal,test,D0102 17:53:00,D0103 06:46:01,14655
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0038,s1,normal,test,D0103 18:43:31,D0104 07:43:47,15858
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0039,s1,normal,test,D0104 20:02:20,D0105 09:14:10,16744
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0040,s1,normal,test,D0105 20:26:07,D0106 07:11:58,13705
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0041,s1,normal,test,D0106 20:00:15,D0107 06:07:39,12906
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0042,s1,normal,test,D0107 18:18:10,D0108 06:41:02,15621
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0043,s1,normal,test,D0108 19:36:14,D0109 06:53:44,14685
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0044,s1,normal,test,D0109 18:14:17,D0110 06:34:28,16080
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0045,s1,normal,test,D0110 19:16:38,D0111 08:10:31,16907
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0046,s1,normal,test,D0111 19:01:37,D0112 08:28:42,16051
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0047,s1,normal,test,D0112 19:12:40,D0113 07:34:44,14728
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0048,s1,normal,test,D0113 21:01:25,D0114 08:10:59,14594
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0049,s1,normal,test,D0114 18:31:47,D0115 07:22:15,16794
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0050,s1,normal,test,D0115 18:46:59,D0116 06:47:28,15694
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0051,s1,normal,test,D0116 18:25:20,D0117 06:55:49,16393
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0052,s1,normal,test,D0117 18:02:25,D0118 09:03:09,19558
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0053,s1,normal,test,D0118 18:39:16,D0119 08:09:50,16812
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0054,s1,normal,test,D0119 18:31:11,D0120 06:01:42,14471
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0055,s1,normal,test,D0120 18:03:35,D0121 06:34:35,15284
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0056,s1,normal,test,D0121 17:34:19,D0122 06:38:07,16242
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0057,s1,normal,test,D0122 19:07:56,D0123 08:08:34,15986
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0058,s1,normal,test,D0123 20:06:52,D0124 07:07:51,13753
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0059,s1,normal,test,D0124 19:53:51,D0125 09:34:07,13379
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0060,s1,normal,test,D0125 21:33:30,D0126 08:41:11,9225
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0061,s1,normal,test,D0126 10:19:40,D0126 13:55:29,2313
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0062,s1,normal,test,D0126 14:29:49,D0126 15:29:48,1012
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0063,s1,normal,test,D0126 18:08:08,D0127 05:46:55,11053
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0064,s1,normal,test,D0127 18:33:10,D0128 06:11:17,9422
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0065,s1,normal,test,D0128 18:35:55,D0129 05:43:42,8868
v1.0,v1.0_loso,1,User01,User01,unknown,User01|unknown|S0066,s1,normal,test,D0129 06:14:11,D0129 06:44:26,324
