protocol_version,split_id,subject_id,budget_nights,night_id,night_ordinal,device_id,session_id,sensor_phase,channel_quality_phase,partition,primary_test,start_timestamp,end_timestamp,n_rows
v1.0,v1.0_personalization,User01,0,D0001,1,unknown,User01|unknown|S0001,s1,normal,test,0,D0001 22:21:51,D0002 04:24:30,10764
v1.0,v1.0_personalization,User01,0,D0002,2,unknown,User01|unknown|S0002,s1,normal,test,0,D0002 21:10:16,D0003 01:56:55,8496
v1.0,v1.0_personalization,User01,0,D0004,3,unknown,User01|unknown|S0003,s1,normal,test,0,D0004 22:13:40,D0005 04:21:57,10926
v1.0,v1.0_personalization,User01,0,D0005,4,unknown,User01|unknown|S0004,s1,normal,test,0,D0005 21:41:46,D0006 02:11:44,8009
v1.0,v1.0_personalization,User01,0,D0006,5,unknown,User01|unknown|S0005,s1,normal,test,0,D0006 21:10:47,D0007 02:40:05,9773
v1.0,v1.0_personalization,User01,0,D0007,6,unknown,User01|unknown|S0006,s1,normal,test,0,D0007 21:15:00,D0008 01:54:16,8276
v1.0,v1.0_personalization,User01,0,D0073,7,unknown,User01|unknown|S0007,s1,normal,test,0,D0073 19:23:17,D0074 07:06:23,14033
v1.0,v1.0_personalization,User01,0,D0074,8,unknown,User01|unknown|S0008,s1,normal,test,0,D0074 18:17:20,D0075 06:08:26,14275
v1.0,v1.0_personalization,User01,0,D0075,9,unknown,User01|unknown|S0009,s1,normal,test,0,D0075 18:47:34,D0076 06:48:12,14069
v1.0,v1.0_personalization,User01,0,D0076,10,unknown,User01|unknown|S0010,s1,normal,test,0,D0076 18:32:44,D0077 07:01:19,14378
v1.0,v1.0_personalization,User01,0,D0077,11,unknown,User01|unknown|S0011,s1,normal,test,0,D0077 18:13:39,D0078 06:07:55,13988
v1.0,v1.0_personalization,User01,0,D0078,12,unknown,User01|unknown|S0012,s1,normal,test,0,D0078 18:09:08,D0079 06:27:26,14660
v1.0,v1.0_personalization,User01,0,D0079,13,unknown,User01|unknown|S0013,s1,normal,test,0,D0079 17:39:02,D0080 06:21:39,15160
v1.0,v1.0_personalization,User01,0,D0080,14,unknown,User01|unknown|S0014,s1,normal,test,0,D0080 19:13:49,D0080 23:34:03,5365
