protocol_version,split_id,subject_id,budget_nights,night_id,night_ordinal,device_id,session_id,sensor_phase,channel_quality_phase,partition,primary_test,start_timestamp,end_timestamp,n_rows
v1.0,v1.0_personalization,User01,0,2025-08-25,1,unknown,User01|unknown|S0001,s1,normal,test,0,2025-08-25 22:21:51,2025-08-26 04:24:30,10764
v1.0,v1.0_personalization,User01,0,2025-08-26,2,unknown,User01|unknown|S0002,s1,normal,test,0,2025-08-26 21:10:16,2025-08-27 01:56:55,8496
v1.0,v1.0_personalization,User01,0,2025-08-28,3,unknown,User01|unknown|S0003,s1,normal,test,0,2025-08-28 22:13:40,2025-08-29 04:21:57,10926
v1.0,v1.0_personalization,User01,0,2025-08-29,4,unknown,User01|unknown|S0004,s1,normal,test,0,2025-08-29 21:41:46,2025-08-30 02:11:44,8009
v1.0,v1.0_personalization,User01,0,2025-08-30,5,unknown,User01|unknown|S0005,s1,normal,test,0,2025-08-30 21:10:47,2025-08-31 02:40:05,9773
v1.0,v1.0_personalization,User01,0,2025-08-31,6,unknown,User01|unknown|S0006,s1,normal,test,0,2025-08-31 21:15:00,2025-09-01 01:54:16,8276
v1.0,v1.0_personalization,User01,0,2025-11-05,7,unknown,User01|unknown|S0007,s1,normal,test,0,2025-11-05 19:23:17,2025-11-06 07:06:23,14033
v1.0,v1.0_personalization,User01,0,2025-11-06,8,unknown,User01|unknown|S0008,s1,normal,test,0,2025-11-06 18:17:20,2025-11-07 06:08:26,14275
v1.0,v1.0_personalization,User01,0,2025-11-07,9,unknown,User01|unknown|S0009,s1,normal,test,0,2025-11-07 18:47:34,2025-11-08 06:48:12,14069
v1.0,v1.0_personalization,User01,0,2025-11-08,10,unknown,User01|unknown|S0010,s1,normal,test,0,2025-11-08 18:32:44,2025-11-09 07:01:19,14378
v1.0,v1.0_personalization,User01,0,2025-11-09,11,unknown,User01|unknown|S0011,s1,normal,test,0,2025-11-09 18:13:39,2025-11-10 06:07:55,13988
