family,fold,best,second,median,worst
MOVEMENT,1,1.787174481185507,1.7964571082764766,1.8349047022136562,1.9172584265874884
MOVEMENT,2,1.1331422069106547,1.1348079009953962,1.138014684363319,1.144777299911337
MOVEMENT,3,2.5341140477777255,2.5422708000652614,2.5668923351250714,2.593761797849387
CONTACT,1,1.7137616594019844,1.734349863679748,1.772193195154697,1.8094986873884933
CONTACT,2,1.1155902062150789,1.1207822983889415,1.1354833555124197,1.1490228343727162
CONTACT,3,2.494357815257559,2.523158696929138,2.5811960493544444,2.642014101239608
RAW+MOVEMENT,1,1.7057160330152463,1.7279916642521005,1.750711950747883,1.8176118217102872
RAW+MOVEMENT,2,1.13565786871983,1.138303421355688,1.1473598989302503,1.1727882607317826
RAW+MOVEMENT,3,2.507417592279648,2.508405938099468,2.5524615029810898,2.596955933695411
RAW+CONTACT,1,1.7238270849593191,1.728200542325975,1.7569781187272369,1.7899121204034687
RAW+CONTACT,2,1.1300362744753656,1.135064996428687,1.1480104953572199,1.155561523425458
RAW+CONTACT,3,2.4861951809784077,2.5237252507194596,2.572245801643176,2.593756125696771
RAW+MOVEMENT+CONTACT,1,1.7071291064635155,1.7095404815714264,1.7342583536684444,1.7689901971086468
RAW+MOVEMENT+CONTACT,2,1.130140642807793,1.137428671977853,1.1468160125252997,1.169280634944869
RAW+MOVEMENT+CONTACT,3,2.510521547583774,2.545154300122529,2.567720656195409,2.6083682785958637
