family,comparison_type,first,second,target,metric,delta_User01,delta_User02,delta_User07,delta_unweighted_mean,relative_delta_unweighted_mean,improved_subjects,worse_subjects,n_subjects
MOVEMENT,standalone representation,MOVEMENT,RAW,temperature,mae,-0.3755235174623621,-0.08818552445091576,-0.2730389827768456,-0.24558267489670782,-0.07373412888242004,3,0,3
MOVEMENT,standalone representation,MOVEMENT,RAW,temperature,rmse,-0.556946895362465,-0.14047871705823134,-0.40390599860784704,-0.36711053700951446,-0.09508239259220583,3,0,3
MOVEMENT,standalone representation,MOVEMENT,RAW,humidity,mae,2.1477974042520493,2.0816648290448363,-0.2524990861178775,1.3256543823930027,0.07250910472923859,1,2,3
MOVEMENT,standalone representation,MOVEMENT,RAW,humidity,rmse,1.3750037867637914,1.2360602385735113,-0.28792587164380556,0.7743793845644991,0.03600693585652501,1,2,3
CONTACT,standalone representation,CONTACT,RAW,temperature,mae,-0.18687109741932906,-0.015271920558095786,-0.07692757907393788,-0.09302353235045424,-0.02792953178114566,3,0,3
CONTACT,standalone representation,CONTACT,RAW,temperature,rmse,-0.31475368464618514,-0.014934369848248252,-0.08775859527847407,-0.13914888325763583,-0.03603985016187821,3,0,3
CONTACT,standalone representation,CONTACT,RAW,humidity,mae,-0.8245023168361278,-0.040867549480616105,0.056034700398765125,-0.2697783886393263,-0.014756025171676295,2,1,3
CONTACT,standalone representation,CONTACT,RAW,humidity,rmse,-0.9148997011876361,-0.09985937449378923,0.07025445672108077,-0.31483487298678153,-0.014639128188320243,2,1,3
RAW+MOVEMENT,features added to RAW,RAW+MOVEMENT,RAW,temperature,mae,-0.4973677550813327,-0.07253966578776616,-0.05918826445894809,-0.20969856177601565,-0.06296022627391837,3,0,3
RAW+MOVEMENT,features added to RAW,RAW+MOVEMENT,RAW,temperature,rmse,-0.6582568499393853,-0.053712549185456204,-0.07497816982677996,-0.26231585631720716,-0.06794035234370549,3,0,3
RAW+MOVEMENT,features added to RAW,RAW+MOVEMENT,RAW,humidity,mae,0.33337263999759514,-0.16191062069783158,0.10775221500033005,0.09307141143336455,0.005090712035166961,1,2,3
RAW+MOVEMENT,features added to RAW,RAW+MOVEMENT,RAW,humidity,rmse,-0.00919428126388766,-0.12264104637600326,0.12943551858915647,-0.0007999363502448157,-3.719527847292368e-05,2,1,3
RAW+CONTACT,features added to RAW,RAW+CONTACT,RAW,temperature,mae,0.11836818589495612,-0.050820874266818805,0.034911531474759006,0.03415294770096544,0.010254134777857228,1,2,3
RAW+CONTACT,features added to RAW,RAW+CONTACT,RAW,temperature,rmse,0.14136976625837638,-0.05701539964079583,0.054233897162419,0.04619608792666652,0.011964882850402973,1,2,3
RAW+CONTACT,features added to RAW,RAW+CONTACT,RAW,humidity,mae,-1.2936145419841196,-0.3523262966737448,-0.0021544026767088553,-0.5493650804448578,-0.030048533525500482,3,0,3
RAW+CONTACT,features added to RAW,RAW+CONTACT,RAW,humidity,rmse,-1.0640276997492997,-0.4480278695531972,-0.017105065114392914,-0.5097202114722966,-0.023700867204231032,3,0,3
RAW+MOVEMENT+CONTACT,features added to RAW,RAW+MOVEMENT+CONTACT,RAW,temperature,mae,0.15134694468742893,-0.13440726392936675,-0.10320118698718317,-0.028753835409706996,-0.008633096804792765,2,1,3
RAW+MOVEMENT+CONTACT,features added to RAW,RAW+MOVEMENT+CONTACT,RAW,temperature,rmse,0.12586642813217708,-0.11581004618354473,-0.1079597911369512,-0.03263446972943962,-0.008452395532227982,2,1,3
RAW+MOVEMENT+CONTACT,features added to RAW,RAW+MOVEMENT+CONTACT,RAW,humidity,mae,-0.4216106243478208,-0.5070308771844907,0.09484226787623129,-0.2779330778853601,-0.015202060898958165,2,1,3
RAW+MOVEMENT+CONTACT,features added to RAW,RAW+MOVEMENT+CONTACT,RAW,humidity,rmse,-0.4068207098001082,-0.5152596927178763,0.12022851684957203,-0.26728396188947084,-0.012428115550421719,2,1,3
