effect,label,first,second,target,metric,improved_fold_seeds,n_fold_seeds,mean_delta,min_delta,max_delta,improved_seeds_User01,improved_seeds_User02,improved_seeds_User07,direction_consistent_all_9
A,MOVEMENT added to RAW,RAW+MOVEMENT,RAW,temperature,mae,8,9,-0.20969856177601606,-0.8575485712918547,0.006526155006874923,3,2,3,False
A,MOVEMENT added to RAW,RAW+MOVEMENT,RAW,temperature,rmse,8,9,-0.26231585631720705,-1.1131724937282916,0.016836059369267353,3,2,3,False
A,MOVEMENT added to RAW,RAW+MOVEMENT,RAW,humidity,mae,3,9,0.09307141143336513,-1.4689335267841699,2.275231361922959,1,1,1,False
A,MOVEMENT added to RAW,RAW+MOVEMENT,RAW,humidity,rmse,4,9,-0.0007999363502426446,-1.842247894010061,1.9304707372626524,2,1,1,False
B,CONTACT added to RAW,RAW+CONTACT,RAW,temperature,mae,3,9,0.03415294770096525,-0.1847180663759529,0.26225774171459326,0,2,1,False
B,CONTACT added to RAW,RAW+CONTACT,RAW,temperature,rmse,3,9,0.04619608792666642,-0.19021522217124698,0.3063810346135929,0,2,1,False
B,CONTACT added to RAW,RAW+CONTACT,RAW,humidity,mae,7,9,-0.5493650804448575,-2.3735828089651285,0.527846843168458,3,2,2,False
B,CONTACT added to RAW,RAW+CONTACT,RAW,humidity,rmse,7,9,-0.5097202114722924,-2.0115479356733026,0.31437480326490075,3,2,2,False
C,MOVEMENT+CONTACT added to RAW,RAW+MOVEMENT+CONTACT,RAW,temperature,mae,5,9,-0.02875383540970744,-0.3151034487008799,0.2217799192339065,0,3,2,False
C,MOVEMENT+CONTACT added to RAW,RAW+MOVEMENT+CONTACT,RAW,temperature,rmse,5,9,-0.032634469729439716,-0.3616480062345988,0.28632193086098034,0,3,2,False
C,MOVEMENT+CONTACT added to RAW,RAW+MOVEMENT+CONTACT,RAW,humidity,mae,6,9,-0.27793307788536065,-1.4684164716805306,1.2783106714750474,2,3,1,False
C,MOVEMENT+CONTACT added to RAW,RAW+MOVEMENT+CONTACT,RAW,humidity,rmse,6,9,-0.26728396188946885,-1.3609071470154284,1.4909873652572472,2,3,1,False
D,CONTACT added to RAW+MOVEMENT,RAW+MOVEMENT+CONTACT,RAW+MOVEMENT,temperature,mae,2,9,0.18094472636630862,-0.2182533735744343,0.9260050441946412,0,1,1,False
D,CONTACT added to RAW+MOVEMENT,RAW+MOVEMENT+CONTACT,RAW+MOVEMENT,temperature,rmse,3,9,0.22968138658776732,-0.20662912458569505,1.150298738135553,0,2,1,False
D,CONTACT added to RAW+MOVEMENT,RAW+MOVEMENT+CONTACT,RAW+MOVEMENT,humidity,mae,6,9,-0.3710044893187258,-1.6622365565345305,0.39420745394618706,2,3,1,False
D,CONTACT added to RAW+MOVEMENT,RAW+MOVEMENT+CONTACT,RAW+MOVEMENT,humidity,rmse,6,9,-0.26648402553922623,-1.2347366605978856,0.4813407469946327,2,3,1,False
E,MOVEMENT added to RAW+CONTACT,RAW+MOVEMENT+CONTACT,RAW+CONTACT,temperature,mae,6,9,-0.06290678311067269,-0.3229161378670362,0.1535079745550787,1,2,3,False
E,MOVEMENT added to RAW+CONTACT,RAW+MOVEMENT+CONTACT,RAW+CONTACT,temperature,rmse,7,9,-0.07883055765610614,-0.31013184321245113,0.16736514944475012,2,2,3,False
E,MOVEMENT added to RAW+CONTACT,RAW+MOVEMENT+CONTACT,RAW+CONTACT,humidity,mae,3,9,0.2714320025594969,-0.7873296214427192,1.7622916008016034,1,1,1,False
E,MOVEMENT added to RAW+CONTACT,RAW+MOVEMENT+CONTACT,RAW+CONTACT,humidity,rmse,3,9,0.2424362495828236,-0.779472959261696,1.8041712268886556,1,1,1,False
S1,MOVEMENT alone vs RAW,MOVEMENT,RAW,temperature,mae,9,9,-0.24558267489670815,-0.5429128162279824,-0.03613796569130301,3,3,3,True
S1,MOVEMENT alone vs RAW,MOVEMENT,RAW,temperature,rmse,9,9,-0.36711053700951435,-0.7282010716321583,-0.09439232185788349,3,3,3,True
S1,MOVEMENT alone vs RAW,MOVEMENT,RAW,humidity,mae,3,9,1.3256543823930034,-0.4068052154536055,3.52222135348304,0,0,3,False
S1,MOVEMENT alone vs RAW,MOVEMENT,RAW,humidity,rmse,4,9,0.7743793845645011,-0.8399536888612964,2.785118647124694,1,0,3,False
S2,CONTACT alone vs RAW,CONTACT,RAW,temperature,mae,7,9,-0.09302353235045437,-0.3657628046602164,0.10215941675243134,3,2,2,False
S2,CONTACT alone vs RAW,CONTACT,RAW,temperature,rmse,7,9,-0.13914888325763586,-0.5703694896748948,0.12425493196237625,3,2,2,False
S2,CONTACT alone vs RAW,CONTACT,RAW,humidity,mae,4,9,-0.26977838863932724,-2.061023959499309,0.974433738955522,2,1,1,False
S2,CONTACT alone vs RAW,CONTACT,RAW,humidity,rmse,4,9,-0.31483487298678015,-2.271265442575139,0.8801058934744077,2,1,1,False
