stratum_type,stratum,target,seed,quantity,point_estimate,ci_lower,ci_upper,interval,n_nights,n_windows,n_resamples,rng_seed,note
device,22480,temperature,0,delta_mae_b0_minus_b14,2.7187775055257832,2.499475002297064,2.9014735204318063,above_zero,30,36543,2000,0,
device,22480,temperature,0,bias_b14,-0.008882830535247754,-0.23685128802229846,0.22925547930662385,includes_zero,30,36543,2000,0,
device,22480,temperature,0,bias_b0,-3.3824854364794112,-3.6180328967730486,-3.1425212068455255,below_zero,30,36543,2000,0,
device,22480,humidity,0,delta_mae_b0_minus_b14,1.4645336340883741,-3.230423984603152,6.078921498469031,includes_zero,30,36543,2000,0,
device,22480,humidity,0,bias_b14,11.54742085386366,9.146234990069667,14.003041109219453,above_zero,30,36543,2000,0,
device,22480,humidity,0,bias_b0,-12.54829550095295,-15.070154452845195,-9.961468165059017,below_zero,30,36543,2000,0,
device_x_heater,22480/after_AHOF_60min,temperature,0,delta_mae_b0_minus_b14,2.5702173528908334,2.1915383523196796,2.950391947735099,above_zero,23,4530,2000,0,
device_x_heater,22480/after_AHOF_60min,temperature,0,bias_b14,0.16857631171689444,-0.15383922672073902,0.4579437694738295,includes_zero,23,4530,2000,0,
device_x_heater,22480/after_AHOF_60min,temperature,0,bias_b0,-3.2518930157709955,-3.6026366351176073,-2.9397885840751794,below_zero,23,4530,2000,0,
device_x_heater,22480/after_AHOF_60min,humidity,0,delta_mae_b0_minus_b14,4.430426301558674,-0.6045920114370893,9.238449591793456,includes_zero,23,4530,2000,0,
device_x_heater,22480/after_AHOF_60min,humidity,0,bias_b14,10.471647490779711,7.936453753540713,13.42101426234428,above_zero,23,4530,2000,0,
device_x_heater,22480/after_AHOF_60min,humidity,0,bias_b0,-14.338502022196657,-17.120506975998943,-11.318097271968416,below_zero,23,4530,2000,0,
device_x_heater,22480/no_AHON_AHOF_60min,temperature,0,delta_mae_b0_minus_b14,2.739799511943062,2.5368865265047233,2.9076656523506523,above_zero,30,32013,2000,0,
device_x_heater,22480/no_AHON_AHOF_60min,temperature,0,bias_b14,-0.03399418887099278,-0.26496165504543095,0.20072047732306358,includes_zero,30,32013,2000,0,
device_x_heater,22480/no_AHON_AHOF_60min,temperature,0,bias_b0,-3.400964918746276,-3.6395394287107847,-3.1588273125481203,below_zero,30,32013,2000,0,
device_x_heater,22480/no_AHON_AHOF_60min,humidity,0,delta_mae_b0_minus_b14,1.044844951876767,-3.8114895623366203,5.905305836649397,includes_zero,30,32013,2000,0,
device_x_heater,22480/no_AHON_AHOF_60min,humidity,0,bias_b14,11.69964817822471,9.251029793148957,14.186183025417863,above_zero,30,32013,2000,0,
device_x_heater,22480/no_AHON_AHOF_60min,humidity,0,bias_b0,-12.294972302838627,-14.895825034907919,-9.757646419875254,below_zero,30,32013,2000,0,
device,22482,temperature,0,delta_mae_b0_minus_b14,3.926881735477375,3.8139238258144257,4.044049454156768,above_zero,35,59296,2000,0,
device,22482,temperature,0,bias_b14,-1.9232236839663566,-2.2298417285177794,-1.5990416016249027,below_zero,35,59296,2000,0,
device,22482,temperature,0,bias_b0,-5.978908397336954,-6.310712736687708,-5.622476353868057,below_zero,35,59296,2000,0,
device,22482,humidity,0,delta_mae_b0_minus_b14,14.680040658313505,7.848111954406127,20.98276144689829,above_zero,35,59296,2000,0,
