Target,Subject,b,A: training mean,B: adaptation-target mean,C: RAW-TCN base,D: RAW-TCN + offset,E: full fine-tuning,"G_b of E, % (seeds improved)"
Temperature (°C),User01,0,2.84,—,3.09 ± 0.26,—,= C,—
Temperature (°C),User01,1,2.84,2.31,3.09 ± 0.26,4.92 ± 0.29,3.14 ± 0.31,−1.7 (0/3)
Temperature (°C),User01,3,2.84,2.27,3.09 ± 0.26,3.67 ± 0.22,2.85 ± 0.10,+7.7 (3/3)
Temperature (°C),User01,7,2.84,2.16,3.09 ± 0.26,2.88 ± 0.20,2.31 ± 0.10,+25.5 (3/3)
Temperature (°C),User01,14,2.84,1.87,3.09 ± 0.26,2.62 ± 0.14,1.75 ± 0.05,+43.3 (3/3)
Temperature (°C),User02,0,4.85,—,5.06 ± 0.07,—,= C,—
Temperature (°C),User02,1,4.85,1.98,5.06 ± 0.07,2.08 ± 0.02,4.34 ± 0.03,+14.3 (3/3)
Temperature (°C),User02,3,4.85,1.81,5.06 ± 0.07,1.89 ± 0.01,2.76 ± 0.32,+45.5 (3/3)
Temperature (°C),User02,7,4.85,1.81,5.06 ± 0.07,1.90 ± 0.01,1.96 ± 0.04,+61.3 (3/3)
Temperature (°C),User02,14,4.85,1.49,5.06 ± 0.07,1.61 ± 0.00,1.55 ± 0.03,+69.4 (3/3)
Temperature (°C),User07,0,1.59,—,1.89 ± 0.16,—,= C,—
Temperature (°C),User07,1,1.59,2.41,1.89 ± 0.16,2.12 ± 0.02,2.16 ± 0.01,−14.4 (0/3)
Temperature (°C),User07,3,1.59,2.45,1.89 ± 0.16,2.18 ± 0.02,2.37 ± 0.00,−25.0 (0/3)
Temperature (°C),User07,7,1.59,2.37,1.89 ± 0.16,2.10 ± 0.01,2.33 ± 0.01,−23.3 (0/3)
Temperature (°C),User07,14,1.59,2.33,1.89 ± 0.16,2.07 ± 0.01,2.36 ± 0.01,−25.0 (0/3)
Humidity (%RH),User01,0,23.72,—,20.68 ± 1.34,—,= C,—
Humidity (%RH),User01,1,23.72,44.63,20.68 ± 1.34,51.35 ± 0.45,27.83 ± 2.28,−34.6 (0/3)
Humidity (%RH),User01,3,23.72,44.16,20.68 ± 1.34,47.16 ± 0.96,34.19 ± 1.22,−65.3 (0/3)
Humidity (%RH),User01,7,23.72,35.52,20.68 ± 1.34,36.09 ± 1.20,29.95 ± 0.51,−44.8 (0/3)
Humidity (%RH),User01,14,23.72,19.09,20.68 ± 1.34,18.54 ± 0.72,16.03 ± 0.42,+22.5 (3/3)
Humidity (%RH),User02,0,25.05,—,21.98 ± 0.50,—,= C,—
Humidity (%RH),User02,1,25.05,13.72,21.98 ± 0.50,15.08 ± 0.04,17.29 ± 0.45,+21.4 (3/3)
Humidity (%RH),User02,3,25.05,15.53,21.98 ± 0.50,16.71 ± 0.02,12.70 ± 0.84,+42.2 (3/3)
Humidity (%RH),User02,7,25.05,16.69,21.98 ± 0.50,17.60 ± 0.03,14.99 ± 0.21,+31.8 (3/3)
Humidity (%RH),User02,14,25.05,13.42,21.98 ± 0.50,14.70 ± 0.04,12.23 ± 0.16,+44.3 (3/3)
Humidity (%RH),User07,0,8.39,—,10.25 ± 0.30,—,= C,—
Humidity (%RH),User07,1,8.39,8.34,10.25 ± 0.30,9.89 ± 0.22,8.56 ± 0.06,+16.5 (3/3)
Humidity (%RH),User07,3,8.39,8.31,10.25 ± 0.30,9.94 ± 0.22,8.35 ± 0.05,+18.6 (3/3)
Humidity (%RH),User07,7,8.39,8.38,10.25 ± 0.30,9.84 ± 0.22,8.38 ± 0.03,+18.2 (3/3)
Humidity (%RH),User07,14,8.39,8.29,10.25 ± 0.30,10.28 ± 0.25,8.28 ± 0.01,+19.2 (3/3)
