subject_id,budget_nights,statistic,target,value,n_fit_windows,n_fit_nights,adaptation_nights_in_split
User01,1,adaptation_mean,temperature,27.782888684452622,1087,1,1
User01,1,adaptation_mean,humidity,69.71757129714811,1087,1,1
User01,1,adaptation_median,temperature,28.0,1087,1,1
User01,1,adaptation_median,humidity,69.0,1087,1,1
User01,3,adaptation_mean,temperature,27.72622950819672,3050,3,3
User01,3,adaptation_mean,humidity,69.24459016393443,3050,3,3
User01,3,adaptation_median,temperature,28.0,3050,3,3
User01,3,adaptation_median,humidity,69.0,3050,3,3
User01,7,adaptation_mean,temperature,27.562214983713353,7675,7,7
User01,7,adaptation_mean,humidity,60.61315960912052,7675,7,7
User01,7,adaptation_median,temperature,28.0,7675,7,7
User01,7,adaptation_median,humidity,68.0,7675,7,7
User01,14,adaptation_mean,temperature,27.114716593519468,21418,14,14
User01,14,adaptation_mean,humidity,44.14268372397049,21418,14,14
User01,14,adaptation_median,temperature,27.0,21418,14,14
User01,14,adaptation_median,humidity,37.0,21418,14,14
User02,1,adaptation_mean,temperature,28.91241084165478,3505,1,1
User02,1,adaptation_mean,humidity,64.91754636233952,3505,1,1
User02,1,adaptation_median,temperature,29.0,3505,1,1
User02,1,adaptation_median,humidity,72.0,3505,1,1
User02,3,adaptation_mean,temperature,29.2070897324447,10353,3,3
User02,3,adaptation_mean,humidity,68.50806529508355,10353,3,3
User02,3,adaptation_median,temperature,29.0,10353,3,3
User02,3,adaptation_median,humidity,73.0,10353,3,3
User02,7,adaptation_mean,temperature,29.201058201058203,23058,7,7
User02,7,adaptation_mean,humidity,70.26680544713332,23058,7,7
User02,7,adaptation_median,temperature,29.0,23058,7,7
User02,7,adaptation_median,humidity,72.0,23058,7,7
User02,14,adaptation_mean,temperature,29.93984375,44800,14,14
User02,14,adaptation_mean,humidity,64.17069196428571,44800,14,14
User02,14,adaptation_median,temperature,29.0,44800,14,14
User02,14,adaptation_median,humidity,61.0,44800,14,14
User07,1,adaptation_mean,temperature,24.452530120481928,2075,1,1
User07,1,adaptation_mean,humidity,37.694939759036146,2075,1,1
User07,1,adaptation_median,temperature,24.0,2075,1,1
User07,1,adaptation_median,humidity,38.0,2075,1,1
User07,3,adaptation_mean,temperature,24.38943722943723,5775,3,3
User07,3,adaptation_mean,humidity,38.15341991341991,5775,3,3
User07,3,adaptation_median,temperature,24.0,5775,3,3
User07,3,adaptation_median,humidity,36.0,5775,3,3
User07,7,adaptation_mean,temperature,24.51608222490931,12405,7,7
User07,7,adaptation_mean,humidity,37.13696090286175,12405,7,7
User07,7,adaptation_median,temperature,24.0,12405,7,7
User07,7,adaptation_median,humidity,36.0,12405,7,7
User07,14,adaptation_mean,temperature,24.579224469329766,23932,14,14
User07,14,adaptation_mean,humidity,39.63713855925121,23932,14,14
User07,14,adaptation_median,temperature,24.0,23932,14,14
User07,14,adaptation_median,humidity,39.0,23932,14,14
