fold,subject,target,seed,MAE,RMSE,bias,R,Q,r_pooled,r_within_night,r_within_night_mat,target_sd,n_windows,n_nights,n_train_windows,final_epochs
1,User01,temperature,0,2.6397946323392785,3.169848294730031,1.593981671200249,1.6072120221928201,1.2524966140818647,-0.005741618712933996,0.02893646425099688,0.02893646425099688,1.7047656354271112,139735,137,136584,5
1,User01,humidity,0,20.465031651625797,23.459110142578467,18.3607187916424,1.2151677380601116,0.6628715648710437,-0.028085320053504434,-0.008227200703760583,-0.008227200703760583,12.016319842852262,139735,137,136584,5
1,User01,temperature,1,2.504163630083262,2.992407962699568,1.8577730567911555,1.3760758135658784,1.0213872883896062,0.07325690749432766,0.030034339913567916,0.030034339913567916,1.7047656354271112,139735,137,136584,5
1,User01,humidity,1,21.419658705646132,24.72167792501056,19.172052959127942,1.2988577389137599,0.7477752931153131,-0.08549596257037269,-0.011978172164580043,-0.011978172164580043,12.016319842852262,139735,137,136584,5
1,User01,temperature,2,2.5138052230971035,3.0096487333194273,1.3816206872161578,1.5684161317963559,1.1965654797515293,-0.011767101601445007,0.0338730897238639,0.0338730897238639,1.7047656354271112,139735,137,136584,5
1,User01,humidity,2,19.4503163862062,22.638960410094246,16.95645084320053,1.2483059404074486,0.7595720747489757,0.012297724273310415,-0.020035533606047914,-0.020035533606047914,12.016319842852262,139735,137,136584,5
2,User02,temperature,0,5.138744545051648,5.532818959445329,-5.138744545051648,1.0406582768633124,0.1593415360722745,-0.18068083660285866,-0.23489141156461676,-0.07572752129377885,1.9705842314591642,74802,51,201517,3
2,User02,humidity,0,27.1210260757762,31.40606623306979,-26.655021052492007,1.0871982084332217,0.207741061265195,-0.3341746572372962,-0.44075829676921846,-0.08458594445203775,15.27666075109375,74802,51,201517,3
2,User02,temperature,1,5.149626511688412,5.531094595169347,-5.149626511688412,1.0243170175497245,0.12221238498626535,-0.1402864586996861,-0.18512687459511876,-0.020641116669987917,1.9705842314591642,74802,51,201517,3
2,User02,humidity,1,26.775404952558993,31.048987003043468,-26.298739835855702,1.0804079555135349,0.19781775757741796,-0.323907941059907,-0.41138201816034986,-0.05892096276355076,15.27666075109375,74802,51,201517,3
2,User02,temperature,2,5.121346631969293,5.515432933850459,-5.121346631969293,1.0389765511593916,0.14812398238418373,-0.19420069179782315,-0.24533587350347125,-0.05050265396182767,1.9705842314591642,74802,51,201517,3
2,User02,humidity,2,26.97867286671201,31.287923834574,-26.52614775503197,1.0861075385943229,0.2080412184550073,-0.32769572738457703,-0.4134105980889037,-0.07921957898488807,15.27666075109375,74802,51,201517,3
3,User07,temperature,0,2.1203025142187877,2.6043600555582698,1.6324650896394028,1.1625050843654563,0.7426432480481375,0.13472210460531933,-0.07523938733426747,-0.07523938733426747,1.7455611832713192,61782,93,214537,9
3,User07,humidity,0,10.359478005125542,12.821364094307533,4.013437002702193,1.3005201438129554,0.8495097233837056,0.017842129893137028,0.02960817677089326,0.02960817677089326,9.363188504867319,61782,93,214537,9
3,User07,temperature,1,2.226133972534007,2.741172041064302,1.7323192168354058,1.2170323650976078,0.8456300558232006,0.1383124996596501,-0.06605845854862777,-0.06605845854862777,1.7455611832713192,61782,93,214537,9
3,User07,humidity,1,11.01870096842279,13.664987047102004,5.190446024096347,1.350058483168904,0.9227424634464081,0.01560334926132735,0.03777378663804379,0.03777378663804379,9.363188504867319,61782,93,214537,9
3,User07,temperature,2,2.3045576248785493,2.813492276684693,1.82417721517148,1.2271061484713188,0.8564181154234297,0.13291550278379174,-0.06045022161442986,-0.06045022161442986,1.7455611832713192,61782,93,214537,9
3,User07,humidity,2,10.668858008314375,13.093967130494374,4.252938851851979,1.3226308103282338,0.8616266584244547,-0.004034091711217396,0.011465611951229387,0.011465611951229387,9.363188504867319,61782,93,214537,9
