span,subject_id,mat,state,windows,share_of_windows,nights_with_state,nights,windows_with_event_before_session_start
full,User01,all,ON,37750,0.13042561939213024,139,151,1789
full,User01,all,OFF,113431,0.3919022101528139,140,151,0
full,User01,all,UNKNOWN,138256,0.47767217045505583,148,151,0
common,User01,all,ON,16370,0.11715032024904283,113,137,346
common,User01,all,OFF,55713,0.3987046910222922,119,137,0
common,User01,all,UNKNOWN,67652,0.48414498872866496,131,137,0
full,User02,all,ON,36,0.00025000173612316754,12,51,0
full,User02,all,OFF,19321,0.13417454287876998,49,51,491
full,User02,all,UNKNOWN,124642,0.8655754553851068,51,51,0
full,User02,22480,ON,0,0.0,0,45,
full,User02,22480,OFF,6249,0.10869527404289367,33,45,
full,User02,22480,UNKNOWN,51242,0.8913047259571063,45,45,
full,User02,22482,ON,36,0.0004161464835622139,12,50,
full,User02,22482,OFF,13072,0.15110741203125722,44,50,
full,User02,22482,UNKNOWN,73400,0.8484764414851805,50,50,
common,User02,all,ON,6,8.021175904387583e-05,4,51,0
common,User02,all,OFF,8858,0.11841929360177535,48,51,177
common,User02,all,UNKNOWN,65938,0.8815004946391808,51,51,0
common,User02,22480,ON,0,0.0,0,45,
common,User02,22480,OFF,2209,0.09051794787739714,33,45,
common,User02,22480,UNKNOWN,22195,0.9094820521226028,45,45,
common,User02,22482,ON,6,0.00011905234334695822,4,50,
common,User02,22482,OFF,6649,0.1319298384856542,43,50,
common,User02,22482,UNKNOWN,43743,0.8679511091709988,50,50,
full,User07,all,ON,5009,0.03553213072192153,43,100,589
full,User07,all,OFF,23288,0.16519709727532614,83,100,448
full,User07,all,UNKNOWN,112674,0.7992707720027523,100,100,0
common,User07,all,ON,1637,0.026496390534459874,34,93,136
common,User07,all,OFF,10323,0.1670875012139458,73,93,60
common,User07,all,UNKNOWN,49822,0.8064161082515943,93,93,0
