span,fold,subject_id,target,predictor,mae,rmse,bias,n_windows,n_nights,n_source_windows
full,1,User01,temperature,source_mean,2.734975170432229,3.180678089712951,2.6371483450922977,289437,151,284970
full,1,User01,humidity,source_mean,23.057883807414225,24.666100333488156,22.23234574387157,289437,151,284970
full,1,User01,temperature,source_median,3.220009881252224,3.655895010456008,3.194277165669904,289437,151,284970
full,1,User01,humidity,source_median,21.339179165068735,23.05136174087944,20.42610999975815,289437,151,284970
full,1,User01,temperature,heater_conditioned_source_mean,2.2319629526328106,2.7049754501782606,1.9515774804011006,289437,151,284970
full,1,User01,humidity,heater_conditioned_source_mean,20.95574084919057,23.13666725401468,19.97962874779274,289437,151,284970
full,2,User02,temperature,source_mean,4.591746941300422,4.9857234906260235,-4.591746941300422,143999,51,430408
full,2,User02,humidity,source_mean,27.62948740904652,31.081750244801675,-27.494997552304806,143999,51,430408
full,2,User02,temperature,source_median,4.554677463037938,4.951604340448059,-4.554677463037938,143999,51,430408
full,2,User02,humidity,source_median,28.312585504066,31.71230370129388,-28.205848651726747,143999,51,430408
full,2,User02,temperature,heater_conditioned_source_mean,4.599325456508603,4.992371095405338,-4.599325456508603,143999,51,430408
full,2,User02,humidity,heater_conditioned_source_mean,27.817637917163044,31.278153490348583,-27.68975864893285,143999,51,430408
full,3,User07,temperature,source_mean,1.8151603533251963,2.168557676765581,1.0977480763235399,140971,100,433436
full,3,User07,humidity,source_mean,7.993739161152008,9.611831804132422,-2.1218525911060846,140971,100,433436
full,3,User07,temperature,source_median,1.6591284732320832,2.001951577080328,0.7142958480822297,140971,100,433436
full,3,User07,humidity,source_median,9.392023891438665,11.823412582778703,-7.2047229572039635,140971,100,433436
full,3,User07,temperature,heater_conditioned_source_mean,1.68240368668375,2.037940350512309,0.8410965541766586,140971,100,433436
full,3,User07,humidity,heater_conditioned_source_mean,8.104180689913383,9.82526741612195,-3.2168836560803493,140971,100,433436
