family,history_s,subject_id,target,H_a_beats_training_mean_common,H_b_longer_history_lower_error,H_c_variation_beyond_level,mae,R,r_within,r_within_mat
ridge,40,User01,temperature,False,,False,2.7325005802927564,1.816253731742113,0.013888305119246427,0.013888305119246427
ridge,40,User01,humidity,True,,False,19.919190098247725,1.4541086531752414,-0.03969172295094826,-0.03969172295094826
ridge,40,User02,temperature,False,,False,4.979525731948431,1.0029642473376086,-0.010654255786043107,0.03113740745044459
ridge,40,User02,humidity,True,,False,27.14912948104661,1.012603789826183,0.03316827765139047,0.04371715421355139
ridge,40,User07,temperature,False,,False,2.212160041671062,1.0125245329269315,-0.06678896218295814,-0.06678896218295814
ridge,40,User07,humidity,False,,False,9.169205969604523,1.1142737772507352,-0.02147253323962141,-0.02147253323962141
ridge,300,User01,temperature,False,True,False,2.653938032368355,1.8589333329603257,0.011096852448309494,0.011096852448309494
ridge,300,User01,humidity,True,False,False,19.709602525631347,1.3834680603129599,-0.04512115484071533,-0.04512115484071533
ridge,300,User02,temperature,False,True,False,4.91804107106785,0.9953158096973045,0.1263358971201691,0.03244464647085465
ridge,300,User02,humidity,True,True,False,26.283114144495922,1.0111876030204612,0.13958765850950972,0.02348186645969994
ridge,300,User07,temperature,False,True,False,2.147427946797205,1.0184927489859315,-0.07816358232788527,-0.07816358232788527
ridge,300,User07,humidity,False,False,False,9.29793203533741,1.1544590943883057,-0.059083818421710774,-0.059083818421710774
ridge,900,User01,temperature,False,False,False,2.653987065850269,1.891693225246609,-0.007354113264118228,-0.007354113264118228
ridge,900,User01,humidity,True,False,False,19.63176535222526,1.353674455858708,-0.04681450355750945,-0.04681450355750945
ridge,900,User02,temperature,False,True,False,4.898414800062598,0.9882421968264453,0.2054314065866969,0.055267738231241176
ridge,900,User02,humidity,True,True,False,25.596438991515384,1.0190432482501655,0.14935884706273364,0.004721938924333665
ridge,900,User07,temperature,False,True,False,2.11746603741939,1.0130232896606914,-0.09879016989126849,-0.09879016989126849
ridge,900,User07,humidity,False,False,False,9.428856830519617,1.1842376559823384,-0.10567024484862687,-0.10567024484862687
hgb,40,User01,temperature,False,,False,2.613353844633069,1.4317707089976213,0.03227629432915586,0.03227629432915586
hgb,40,User01,humidity,True,,False,21.441178833551927,1.1455998482135539,-0.016834101118395176,-0.016834101118395176
hgb,40,User02,temperature,False,,False,5.0866543065353405,1.0953008231655006,-0.24592404519173933,-0.07265715696322925
hgb,40,User02,humidity,True,,False,26.8055443983323,1.0983079563489277,-0.3579902972446263,-0.0701460275344988
hgb,40,User07,temperature,False,,False,2.094071837336859,1.20402898153145,-0.06629892183140215,-0.06629892183140215
hgb,40,User07,humidity,False,,False,10.314244440772743,1.3154736192748118,0.02666937631155129,0.02666937631155129
hgb,300,User01,temperature,True,True,False,2.182562748525545,1.2970142110818015,0.027951503085107573,0.027951503085107573
hgb,300,User01,humidity,True,False,False,21.346660604635673,1.2628287562377118,0.005998280723845047,0.005998280723845047
hgb,300,User02,temperature,False,True,False,5.034118498285198,1.0915602159565665,-0.2640359967510439,-0.07708095808504192
hgb,300,User02,humidity,True,False,False,26.7464989187522,1.1224665765486057,-0.4473268972862821,-0.08334742039819788
hgb,300,User07,temperature,True,True,False,1.8123730954430755,1.1253653688935201,-0.03885288602424094,-0.03885288602424094
hgb,300,User07,humidity,False,True,False,9.744495694918339,1.280370165547725,0.03365948025357455,0.03365948025357455
hgb,900,User01,temperature,True,True,False,2.1836158122686125,1.3039589559467397,0.04132822651457078,0.04132822651457078
hgb,900,User01,humidity,True,True,False,20.21460298654324,1.2313685571003334,0.015729949719227126,0.015729949719227126
hgb,900,User02,temperature,False,True,False,4.959335814961659,1.132397331613703,-0.28089380069875713,-0.09023377880796038
hgb,900,User02,humidity,True,True,False,25.983350662044572,1.1517563740255212,-0.48860552245199446,-0.08331578127641354
hgb,900,User07,temperature,True,True,False,1.7648878623584352,1.144672970343623,-0.054338748768494864,-0.054338748768494864
hgb,900,User07,humidity,False,True,False,9.584979860259596,1.2510248727860236,0.07157335922063549,0.07157335922063549
