family,history_s,target,subjects,H_a_count,H_a_rule_met_2_of_3,H_b_count,H_b_rule_met_2_of_3,H_c_count
ridge,40,temperature,3,0,False,,,0
ridge,40,humidity,3,2,True,,,0
ridge,300,temperature,3,0,False,3,True,0
ridge,300,humidity,3,2,True,1,False,0
ridge,900,temperature,3,0,False,2,True,0
ridge,900,humidity,3,2,True,1,False,0
hgb,40,temperature,3,0,False,,,0
hgb,40,humidity,3,2,True,,,0
hgb,300,temperature,3,2,True,3,True,0
hgb,300,humidity,3,2,True,1,False,0
hgb,900,temperature,3,2,True,3,True,0
hgb,900,humidity,3,2,True,3,True,0
