code,class,basis,used_in_heater_context,subject_id,device_id,events,nights_with_code,nights_of_stream,night_coverage
BHSDOWN,set_point,documented,0,User01,unknown,3990,141,151,0.9337748344370861
BHSDOWN,set_point,documented,0,User02,22480,608,33,45,0.7333333333333333
BHSDOWN,set_point,documented,0,User02,22482,944,43,50,0.86
BHSDOWN,set_point,documented,0,User07,unknown,1570,83,100,0.83
AHOF,heater_off,documented,1,User01,unknown,1408,140,151,0.9271523178807947
AHOF,heater_off,documented,1,User02,22480,39,33,45,0.7333333333333333
AHOF,heater_off,documented,1,User02,22482,117,44,50,0.88
AHOF,heater_off,documented,1,User07,unknown,266,83,100,0.83
AHON,heater_on,documented,1,User01,unknown,1395,139,151,0.9205298013245033
AHON,heater_on,documented,1,User02,22480,39,33,45,0.7333333333333333
AHON,heater_on,documented,1,User02,22482,122,44,50,0.88
AHON,heater_on,documented,1,User07,unknown,271,90,100,0.9
BCSUP,set_point_or_limit,name_only_ambiguous,0,User01,unknown,917,137,151,0.9072847682119205
BCSUP,set_point_or_limit,name_only_ambiguous,0,User07,unknown,101,28,100,0.28
FOF,heating_related_on_off,name_only_ambiguous,0,User01,unknown,98,10,151,0.06622516556291391
FOF,heating_related_on_off,name_only_ambiguous,0,User02,22480,38,16,45,0.35555555555555557
FOF,heating_related_on_off,name_only_ambiguous,0,User02,22482,71,15,50,0.3
FOF,heating_related_on_off,name_only_ambiguous,0,User07,unknown,128,48,100,0.48
STEMP,set_point_or_limit,name_only_ambiguous,0,User01,unknown,204,81,151,0.5364238410596026
STEMP,set_point_or_limit,name_only_ambiguous,0,User02,22482,5,1,50,0.02
BHNTSDOWN,set_point_or_limit,name_only_ambiguous,0,User01,unknown,132,77,151,0.5099337748344371
BHNTSDOWN,set_point_or_limit,name_only_ambiguous,0,User07,unknown,37,20,100,0.2
SMINLIMIT,set_point_or_limit,name_only_ambiguous,0,User01,unknown,75,17,151,0.11258278145695365
SMINLIMIT,set_point_or_limit,name_only_ambiguous,0,User07,unknown,17,3,100,0.03
SLIMIT,set_point_or_limit,name_only_ambiguous,0,User01,unknown,44,15,151,0.09933774834437085
SLIMIT,set_point_or_limit,name_only_ambiguous,0,User02,22480,4,2,45,0.044444444444444446
SLIMIT,set_point_or_limit,name_only_ambiguous,0,User02,22482,10,4,50,0.08
AIDONE,controller_or_mode,name_only_ambiguous,0,User01,unknown,23,10,151,0.06622516556291391
AIDONE,controller_or_mode,name_only_ambiguous,0,User07,unknown,34,15,100,0.15
AMODE,controller_or_mode,name_only_ambiguous,0,User01,unknown,12,7,151,0.046357615894039736
AMODE,controller_or_mode,name_only_ambiguous,0,User02,22482,22,1,50,0.02
AMODE,controller_or_mode,name_only_ambiguous,0,User07,unknown,12,8,100,0.08
EVENT:BURST_HOT_STEP_DOWN,set_point_or_limit,name_only_ambiguous,0,User01,unknown,29,2,151,0.013245033112582781
EVENT:FORCED_OFF,heating_related_on_off,name_only_ambiguous,0,User01,unknown,25,3,151,0.019867549668874173
AIHON,heating_related_on_off,name_only_ambiguous,0,User01,unknown,4,4,151,0.026490066225165563
AIHON,heating_related_on_off,name_only_ambiguous,0,User02,22482,15,1,50,0.02
AIHON,heating_related_on_off,name_only_ambiguous,0,User07,unknown,3,3,100,0.03
FON,heating_related_on_off,name_only_ambiguous,0,User01,unknown,6,2,151,0.013245033112582781
FON,heating_related_on_off,name_only_ambiguous,0,User02,22480,4,3,45,0.06666666666666667
FON,heating_related_on_off,name_only_ambiguous,0,User02,22482,7,2,50,0.04
FON,heating_related_on_off,name_only_ambiguous,0,User07,unknown,1,1,100,0.01
AIHOFF,heating_related_on_off,name_only_ambiguous,0,User02,22482,14,1,50,0.02
AIHOFF,heating_related_on_off,name_only_ambiguous,0,User07,unknown,1,1,100,0.01
SCHATIDS,controller_or_mode,name_only_ambiguous,0,User02,22482,2,1,50,0.02
SCHATIDS,controller_or_mode,name_only_ambiguous,0,User07,unknown,13,2,100,0.02
WSTOP,controller_or_mode,name_only_ambiguous,0,User01,unknown,10,3,151,0.019867549668874173
WSTOP,controller_or_mode,name_only_ambiguous,0,User02,22482,3,2,50,0.04
MMODE,controller_or_mode,name_only_ambiguous,0,User01,unknown,9,2,151,0.013245033112582781
MMODE,controller_or_mode,name_only_ambiguous,0,User07,unknown,1,1,100,0.01
EVENT:FORCED_ON,heating_related_on_off,name_only_ambiguous,0,User01,unknown,9,2,151,0.013245033112582781
FOH,forced_off,documented,0,User02,22482,4,1,50,0.02
MOF,heating_related_on_off,name_only_ambiguous,0,User01,unknown,3,1,151,0.006622516556291391
MON,heating_related_on_off,name_only_ambiguous,0,User01,unknown,2,1,151,0.006622516556291391
MON,heating_related_on_off,name_only_ambiguous,0,User07,unknown,1,1,100,0.01
