span,fold,subject_id,target,predictor,mae,rmse,bias,n_windows,n_nights,n_source_windows
common,1,User01,temperature,source_mean,2.7498776327045786,3.1668817982519273,2.6688788755517097,139735,137,136584
common,1,User01,humidity,source_mean,23.646183034084455,25.131886863388214,22.073055854331095,139735,137,136584
common,1,User01,temperature,source_median,3.115146527355351,3.5310855977985316,3.0923032883672668,139735,137,136584
common,1,User01,humidity,source_median,22.23101585143307,23.7882761869079,20.53022506888038,139735,137,136584
common,1,User01,temperature,heater_conditioned_source_mean,2.2030301504052265,2.6725413476518773,1.9855836011635142,139735,137,136584
common,1,User01,humidity,heater_conditioned_source_mean,21.197428077091065,23.2875686116777,19.49670223602894,139735,137,136584
common,2,User02,temperature,source_mean,4.807136608231925,5.195359908945582,-4.807136608231925,74802,51,201517
common,2,User02,humidity,source_mean,28.76479230283613,32.40126381857596,-28.5738610155672,74802,51,201517
common,2,User02,temperature,source_median,4.732721050239299,5.126582755857323,-4.732721050239299,74802,51,201517
common,2,User02,humidity,source_median,29.374883024518063,32.9716978241981,-29.219111788454853,74802,51,201517
common,2,User02,temperature,heater_conditioned_source_mean,4.822554871503206,5.209258119120821,-4.822554871503206,74802,51,201517
common,2,User02,humidity,heater_conditioned_source_mean,29.007474095176413,32.65808082743629,-28.829155837704686,74802,51,201517
common,3,User07,temperature,source_mean,2.041242309529914,2.3841774389271624,1.623982209183868,61782,93,214537
common,3,User07,humidity,source_mean,7.920498460016704,9.390248237536015,0.7123643624359288,61782,93,214537
common,3,User07,temperature,source_median,1.6717490531222685,2.028805860447048,1.0339581107766016,61782,93,214537
common,3,User07,humidity,source_median,8.295652455407724,10.534358570800757,-4.827360719950795,61782,93,214537
common,3,User07,temperature,heater_conditioned_source_mean,1.8743445107597285,2.2384827615464973,1.3504293578780342,61782,93,214537
common,3,User07,humidity,heater_conditioned_source_mean,7.796809921983923,9.369266126052809,-0.6621760043774844,61782,93,214537
