span,subject_id,target,variant,scope,eta_squared,ci_lower,ci_upper,n_nights,n_windows,n_states,label
full,User01,temperature,A1_raw,three_states,0.10286866896714852,0.07390076699887765,0.14977749957351486,151,289437,3,medium
full,User01,temperature,A1_raw,ON_OFF_only,0.17518201322457816,0.15039506224770022,0.20390097225200676,142,151181,2,large
full,User01,temperature,A2_night_centred,three_states,0.15170857283382147,0.12993357248283186,0.17650757382663024,151,289437,3,large
full,User01,temperature,A2_night_centred,ON_OFF_only,0.23183397428730362,0.2051182052771164,0.2629194637305149,142,151181,2,large
full,User01,humidity,A1_raw,three_states,0.009631320233004411,0.0010555654706101427,0.04070363914234548,151,289437,3,small
full,User01,humidity,A1_raw,ON_OFF_only,0.004426714043524238,0.0015070357015581463,0.00862804780860262,142,151181,2,small
full,User01,humidity,A2_night_centred,three_states,0.007931445975751648,0.0019187841015168602,0.01884106857431766,151,289437,3,small
full,User01,humidity,A2_night_centred,ON_OFF_only,0.002564030164185374,7.82622993637921e-05,0.007949547016709486,142,151181,2,small
common,User01,temperature,A1_raw,three_states,0.09966093116998266,0.05966653148014283,0.1583326180337843,137,139735,3,medium
common,User01,temperature,A1_raw,ON_OFF_only,0.12518875728093876,0.09877983714709397,0.15634945755252208,121,72083,2,medium
common,User01,temperature,A2_night_centred,three_states,0.11319003817778578,0.09284938062944868,0.1387925398082093,137,139735,3,medium
common,User01,temperature,A2_night_centred,ON_OFF_only,0.18375949446545956,0.15516178145604786,0.2127937278972234,121,72083,2,large
common,User01,humidity,A1_raw,three_states,0.0004898150791473487,8.45930241280043e-05,0.02551797175738701,137,139735,3,small
common,User01,humidity,A1_raw,ON_OFF_only,0.0007156329323128454,2.82363145788715e-06,0.003758006976024388,121,72083,2,small
common,User01,humidity,A2_night_centred,three_states,0.005011796185105082,0.0011605823522241644,0.013222504208619422,137,139735,3,small
common,User01,humidity,A2_night_centred,ON_OFF_only,0.0008449339462875377,2.5634663216512013e-06,0.005365963531122078,121,72083,2,small
full,User02,temperature,A1_raw,three_states,0.0037379783204890926,0.00018268043753390565,0.01288834044531026,51,143999,3,small
full,User02,temperature,A1_raw,ON_OFF_only,6.997095718403873e-05,1.6780833766362177e-07,0.0012301114928997567,49,19357,2,small
full,User02,temperature,A2_night_centred,three_states,0.0068518739883658124,0.0012628960661972175,0.017773981610588425,51,143999,3,small
full,User02,temperature,A2_night_centred,ON_OFF_only,1.4931199577044813e-06,1.990752085848586e-07,0.0011427565839638393,49,19357,2,small
full,User02,temperature,A3_night_x_mat_centred,three_states,0.0411461961610269,0.016993743380586835,0.07950592555532972,51,143999,3,small
full,User02,temperature,A3_night_x_mat_centred,ON_OFF_only,0.002137260364194903,1.6401340340944442e-06,0.010599586696406775,49,19357,2,small
full,User02,humidity,A1_raw,three_states,0.007660625637187403,0.0008564000093702126,0.021571966344074257,51,143999,3,small
full,User02,humidity,A1_raw,ON_OFF_only,1.100070498951009e-05,1.1630752934248054e-07,0.0005848586603387163,49,19357,2,small
full,User02,humidity,A2_night_centred,three_states,0.0137141331014927,0.0031918660575396243,0.03426897155026373,51,143999,3,small
full,User02,humidity,A2_night_centred,ON_OFF_only,0.0003406804137072307,9.911828352063592e-05,0.0009024410090543456,49,19357,2,small
full,User02,humidity,A3_night_x_mat_centred,three_states,0.023331491871103126,0.008545383393830513,0.047070561566434306,51,143999,3,small
full,User02,humidity,A3_night_x_mat_centred,ON_OFF_only,4.4422374310806054e-05,1.0005704577196821e-07,0.0011504313344162741,49,19357,2,small
common,User02,temperature,A1_raw,three_states,0.0014742015524634713,7.216436812590047e-05,0.010436822504719155,51,74802,3,small
common,User02,temperature,A1_raw,ON_OFF_only,0.0008593894347707486,9.385810692149803e-07,0.003178733806571874,48,8864,2,small
common,User02,temperature,A2_night_centred,three_states,0.002838843788742365,0.00018732611328892702,0.013293628320067391,51,74802,3,small
common,User02,temperature,A2_night_centred,ON_OFF_only,0.0014257428872415064,0.00014417648938497271,0.003120313883054069,48,8864,2,small
common,User02,temperature,A3_night_x_mat_centred,three_states,0.029423300796638845,0.011524485105188097,0.060739111329815076,51,74802,3,small
