model,target,metric,User01,User02,User07,unweighted_subject_mean
training_mean,temperature,mae,2.734975170432229,4.591746941300422,1.8151603533251963,3.0472941550192822
tcn_raw,temperature,mae,3.124593550627388,4.822480770951146,2.0448796874662722,3.3306513363482693
training_mean,temperature,rmse,3.180678089712951,4.9857234906260235,2.168557676765581,3.4449864190348514
tcn_raw,temperature,rmse,3.7927588303872057,5.257520338077413,2.5326394035573347,3.8609728573406508
training_mean,temperature,bias,2.6371483450922977,-4.591746941300422,1.0977480763235399,-0.2856168399615282
tcn_raw,temperature,bias,1.8576050353324327,-4.822480770951146,1.4001643610424885,-0.521570458192075
training_mean,humidity,mae,23.057883807414225,27.62948740904652,7.993739161152008,19.560370125870918
tcn_raw,humidity,mae,20.284759363758678,24.5912486415201,9.97176817441161,18.282592059896796
training_mean,humidity,rmse,24.666100333488156,31.081750244801675,9.611831804132422,21.78656079414075
tcn_raw,humidity,rmse,23.2435337416165,28.98116119922736,12.294490000368206,21.506394980404025
training_mean,humidity,bias,22.23234574387157,-27.494997552304806,-2.1218525911060846,-2.461501466513107
tcn_raw,humidity,bias,19.043324219034286,-24.173201855971215,3.0947903500613134,-0.6783624289585384
