family,first,second,target,metric,delta_User01,delta_User02,delta_User07,delta_unweighted_mean,relative_delta_unweighted_mean,improved_subjects,worse_subjects,n_subjects,seeds_better_User01,seeds_better_User02,seeds_better_User07,all_seeds_same_side
RAW,RAW,training_mean,temperature,mae,0.38961838019515893,0.23073382965072398,0.22971933414107593,0.2833571813289863,0.09298648798385967,0,3,3,0,0,0,True
RAW,RAW,training_mean,temperature,rmse,0.6120807406742546,0.2717968474513892,0.36408172679175355,0.4159864383057991,0.12075125637863676,0,3,3,0,0,0,True
RAW,RAW,training_mean,humidity,mae,-2.773124443655547,-3.038238767526419,1.9780290132596017,-1.2777780659741216,-0.06532484087732614,2,1,3,3,3,0,True
RAW,RAW,training_mean,humidity,rmse,-1.4225665918716572,-2.100589045574317,2.682658196235785,-0.2801658137367298,-0.01285957046566419,2,1,3,3,3,0,True
MOVEMENT,MOVEMENT,training_mean,temperature,mae,0.014094862732796809,0.1425483051998082,-0.04331964863576965,0.037774506432278455,0.012396081412114096,1,2,3,1,0,2,False
MOVEMENT,MOVEMENT,training_mean,temperature,rmse,0.05513384531178955,0.13131813039315787,-0.03982427181609349,0.04887590129628464,0.014187545421435285,1,2,3,1,0,2,False
MOVEMENT,MOVEMENT,training_mean,humidity,mae,-0.6253270394034978,-0.9565739384815828,1.7255299271417242,0.0478763164188812,0.0024476181233175683,2,1,3,2,3,0,False
MOVEMENT,MOVEMENT,training_mean,humidity,rmse,-0.04756280510786581,-0.8645288070008057,2.3947323245919794,0.4942135708277693,0.022684331661961186,2,1,3,2,3,0,False
CONTACT,CONTACT,training_mean,temperature,mae,0.20274728277582987,0.2154619090926282,0.15279175506713805,0.19033364897853203,0.06245988713135167,0,3,3,0,0,0,True
CONTACT,CONTACT,training_mean,temperature,rmse,0.2973270560280694,0.25686247760314096,0.2763231315132795,0.27683755504816326,0.08035954903001394,0,3,3,0,0,0,True
CONTACT,CONTACT,training_mean,humidity,mae,-3.597626760491675,-3.079106317007035,2.034063713658367,-1.5475564546134477,-0.07911693105268085,2,1,3,3,3,0,True
CONTACT,CONTACT,training_mean,humidity,rmse,-2.3374662930592933,-2.2004484200681063,2.7529126529568657,-0.5950006867235113,-0.02731044575349084,2,1,3,3,3,0,True
RAW+MOVEMENT,RAW+MOVEMENT,training_mean,temperature,mae,-0.10774937488617375,0.15819416386295782,0.17053106968212783,0.07365861955297064,0.02417181138606048,1,2,3,2,0,0,False
RAW+MOVEMENT,RAW+MOVEMENT,training_mean,temperature,rmse,-0.046176109265130716,0.218084298265933,0.2891035569649736,0.15367058198859196,0.04460702113062157,1,2,3,2,0,0,False
RAW+MOVEMENT,RAW+MOVEMENT,training_mean,humidity,mae,-2.439751803657952,-3.2001493882242507,2.0857812282599317,-1.184706654540757,-0.060566678795808744,2,1,3,3,3,0,True
RAW+MOVEMENT,RAW+MOVEMENT,training_mean,humidity,rmse,-1.431760873135545,-2.2232300919503203,2.8120937148249414,-0.2809657500869746,-0.012896287428832602,2,1,3,3,3,0,True
RAW+CONTACT,RAW+CONTACT,training_mean,temperature,mae,0.507986566090115,0.17991295538390517,0.26463086561583493,0.31751012902995174,0.104194118742023,0,3,3,0,0,0,True
RAW+CONTACT,RAW+CONTACT,training_mean,temperature,rmse,0.7534505069326309,0.21478144781059338,0.41831562395417254,0.46218252623246564,0.1341609138656491,0,3,3,0,0,0,True
RAW+CONTACT,RAW+CONTACT,training_mean,humidity,mae,-4.066738985639667,-3.390565064200164,1.9758746105828928,-1.8271431464189793,-0.0934104587316763,2,1,3,3,3,0,True
RAW+CONTACT,RAW+CONTACT,training_mean,humidity,rmse,-2.486594291620957,-2.548616915127514,2.665553131121392,-0.7898860252090264,-0.036255654697985064,2,1,3,3,3,0,True
RAW+MOVEMENT+CONTACT,RAW+MOVEMENT+CONTACT,training_mean,temperature,mae,0.5409653248825879,0.09632656572135723,0.12651814715389276,0.2546033459192793,0.08355062982676455,0,3,3,0,1,0,False
RAW+MOVEMENT+CONTACT,RAW+MOVEMENT+CONTACT,training_mean,temperature,rmse,0.7379471688064316,0.15598680126784448,0.25612193565480235,0.3833519685763595,0.11127822346648308,0,3,3,0,0,0,True
RAW+MOVEMENT+CONTACT,RAW+MOVEMENT+CONTACT,training_mean,humidity,mae,-3.194735068003368,-3.5452696447109098,2.072871281135833,-1.5557111438594815,-0.07953382956705243,2,1,3,3,3,0,True
RAW+MOVEMENT+CONTACT,RAW+MOVEMENT+CONTACT,training_mean,humidity,rmse,-1.8293873016717654,-2.6158487382921933,2.802886713085357,-0.5474497756262006,-0.025127865788409844,2,1,3,3,3,0,True
