subject_id,fold,budget_nights,adaptation_nights,adaptation_first,adaptation_last,adaptation_windows,buffer_nights,buffer_windows,primary_test_nights,primary_test_windows,later_test_nights,later_test_windows,adaptation_lr,base_lr
User01,1,0,0,,,0,,0,136,265852,151,289437,0.0001,0.001
User01,1,1,1,2025-08-25,2025-08-25,1087,2025-08-26,859,136,265852,149,287491,0.0001,0.001
User01,1,3,3,2025-08-25,2025-08-28,3050,2025-08-29,809,136,265852,147,285578,0.0001,0.001
User01,1,7,7,2025-08-25,2025-11-05,7675,2025-11-06,2038,136,265852,143,279724,0.0001,0.001
User01,1,14,14,2025-08-25,2025-11-12,21418,2025-11-13,2167,136,265852,136,265852,0.0001,0.001
User02,2,0,0,,,0,,0,36,95839,51,143999,2.9999999999999997e-05,0.0003
User02,2,1,1,2026-07-19,2026-07-19,3505,2026-07-20,3516,36,95839,49,136978,2.9999999999999997e-05,0.0003
User02,2,3,3,2026-07-19,2026-07-21,10353,2026-07-22,3376,36,95839,47,130270,2.9999999999999997e-05,0.0003
User02,2,7,7,2026-07-19,2026-07-26,23058,2026-07-27,3068,36,95839,43,117873,2.9999999999999997e-05,0.0003
User02,2,14,14,2026-07-19,2026-08-04,44800,2026-08-05,3360,36,95839,36,95839,2.9999999999999997e-05,0.0003
User07,3,0,0,,,0,,0,85,114838,100,140971,0.0001,0.001
User07,3,1,1,2026-04-03,2026-04-03,2075,2026-04-04,1777,85,114838,98,137119,0.0001,0.001
User07,3,3,3,2026-04-03,2026-04-05,5775,2026-04-06,1821,85,114838,96,133375,0.0001,0.001
User07,3,7,7,2026-04-03,2026-04-09,12405,2026-04-10,2118,85,114838,92,126448,0.0001,0.001
User07,3,14,14,2026-04-03,2026-04-17,23932,2026-04-18,2201,85,114838,85,114838,0.0001,0.001
