figure,panel,series,budget_nights,value,seed_min,seed_max,unit
P5-1,temperature,User01,0,3.0923339435499746,2.8132957138884467,3.3145944897849513,°C
P5-1,temperature,User01,1,3.1445204679942784,2.8186030413563867,3.442643043126967,°C
P5-1,temperature,User01,3,2.8546511828920402,2.795496356198685,2.965733073402239,°C
P5-1,temperature,User01,7,2.3051020152541626,2.248300813498881,2.417872631520781,°C
P5-1,temperature,User01,14,1.7531137203321425,1.7116959553467817,1.8080890003611516,°C
P5-1,temperature,User02,0,5.060396071292392,4.98890344884399,5.12389265921062,°C
P5-1,temperature,User02,1,4.338832839992601,4.306003026325849,4.362827837457076,°C
P5-1,temperature,User02,3,2.7584095931347647,2.3985679439920364,3.0195965075118463,°C
P5-1,temperature,User02,7,1.9575689883515184,1.9118088241160787,1.9861256120198576,°C
P5-1,temperature,User02,14,1.550401069325698,1.5226666791438146,1.5874599250980341,°C
P5-1,temperature,User07,0,1.8916833222862142,1.7562015963313184,2.0721988865085224,°C
P5-1,temperature,User07,1,2.1637127215759784,2.152760054182992,2.1744711945793944,°C
P5-1,temperature,User07,3,2.3650192740558436,2.36232086003273,2.369650537792372,°C
P5-1,temperature,User07,7,2.3331917055395777,2.3224716151570908,2.3398834072533448,°C
P5-1,temperature,User07,14,2.3643315409682018,2.3555002854855314,2.3700851062857415,°C
P5-1,temperature,unweighted_mean,0,3.3481377790428604,,,°C
P5-1,temperature,unweighted_mean,1,3.2156886765209527,,,°C
P5-1,temperature,unweighted_mean,3,2.6593600166942157,,,°C
P5-1,temperature,unweighted_mean,7,2.1986209030484196,,,°C
P5-1,temperature,unweighted_mean,14,1.8892821102086808,,,°C
P5-2,humidity,User01,0,20.679409168036404,19.267175499700787,21.929375091538763,%RH
P5-2,humidity,User01,1,27.831496573287875,25.203912986262054,29.216494217473198,%RH
P5-2,humidity,User01,3,34.18698577573662,33.03066884306808,35.46670444547784,%RH
P5-2,humidity,User01,7,29.945473246830726,29.55680087309718,30.51757207394241,%RH
P5-2,humidity,User01,14,16.02809746872887,15.78284313086788,16.515323596853243,%RH
P5-2,humidity,User02,0,21.984249528121513,21.6751157584665,22.561445093247787,%RH
P5-2,humidity,User02,1,17.28904405841806,16.873888159285094,17.775256198050663,%RH
P5-2,humidity,User02,3,12.701214709873694,12.027385201105936,13.635921379946982,%RH
P5-2,humidity,User02,7,14.98660332767876,14.804560917985707,15.21502108153374,%RH
P5-2,humidity,User02,14,12.234335770444973,12.075163270105271,12.40276466484662,%RH
P5-2,humidity,User07,0,10.247411370441306,10.048856284104133,10.598154099870527,%RH
P5-2,humidity,User07,1,8.557301725143077,8.48879843193236,8.614547039514408,%RH
P5-2,humidity,User07,3,8.346227878397928,8.315330506179714,8.39904360197067,%RH
P5-2,humidity,User07,7,8.384021433661141,8.362498517246268,8.421029891647864,%RH
P5-2,humidity,User07,14,8.27528387601877,8.262391425874716,8.286771727695735,%RH
P5-2,humidity,unweighted_mean,0,17.637023355533074,,,%RH
P5-2,humidity,unweighted_mean,1,17.89261411894967,,,%RH
P5-2,humidity,unweighted_mean,3,18.411476121336083,,,%RH
P5-2,humidity,unweighted_mean,7,17.77203266939021,,,%RH
P5-2,humidity,unweighted_mean,14,12.179239038397538,,,%RH
P5-3,temperature,User01,0,1.9026926981463343,1.6826814709666877,2.107141077360308,°C
P5-3,temperature,User01,1,2.7133780012108097,2.343849543452121,3.0878759747723104,°C
P5-3,temperature,User01,3,2.602283714306477,2.5230764791658844,2.7399916891069123,°C
P5-3,temperature,User01,7,1.9446527599600383,1.8326239391312753,2.1094962384281235,°C
