subject_id,fold,budget_nights,span,target,metric,seed_mean,seed_sd,seed_min,seed_max,n_seeds,n_windows,n_nights
User01,1,0,primary,temperature,mae,3.0923339435499746,0.2554268871522685,2.8132957138884467,3.3145944897849513,3,265852,136
User02,2,0,primary,temperature,mae,5.060396071292392,0.06784890680775464,4.98890344884399,5.12389265921062,3,95839,36
User07,3,0,primary,temperature,mae,1.8916833222862142,0.16274091922947834,1.7562015963313184,2.0721988865085224,3,114838,85
unweighted_mean,,0,primary,temperature,mae,3.3481377790428604,,,,3,,
User01,1,1,primary,temperature,mae,3.1445204679942784,0.312947114190407,2.8186030413563867,3.442643043126967,3,265852,136
User02,2,1,primary,temperature,mae,4.338832839992601,0.02942456920705792,4.306003026325849,4.362827837457076,3,95839,36
User07,3,1,primary,temperature,mae,2.1637127215759784,0.010856872842756271,2.152760054182992,2.1744711945793944,3,114838,85
unweighted_mean,,1,primary,temperature,mae,3.2156886765209527,,,,3,,
User01,1,3,primary,temperature,mae,2.8546511828920402,0.09626759547500734,2.795496356198685,2.965733073402239,3,265852,136
User02,2,3,primary,temperature,mae,2.7584095931347647,0.32205385682464627,2.3985679439920364,3.0195965075118463,3,95839,36
User07,3,3,primary,temperature,mae,2.3650192740558436,0.0040290166326329415,2.36232086003273,2.369650537792372,3,114838,85
unweighted_mean,,3,primary,temperature,mae,2.6593600166942157,,,,3,,
User01,1,7,primary,temperature,mae,2.3051020152541626,0.09766310402280626,2.248300813498881,2.417872631520781,3,265852,136
User02,2,7,primary,temperature,mae,1.9575689883515184,0.04003395555171544,1.9118088241160787,1.9861256120198576,3,95839,36
User07,3,7,primary,temperature,mae,2.3331917055395777,0.009378889190650327,2.3224716151570908,2.3398834072533448,3,114838,85
unweighted_mean,,7,primary,temperature,mae,2.1986209030484196,,,,3,,
User01,1,14,primary,temperature,mae,1.7531137203321425,0.049606042398125653,1.7116959553467817,1.8080890003611516,3,265852,136
User02,2,14,primary,temperature,mae,1.550401069325698,0.033387878402672544,1.5226666791438146,1.5874599250980341,3,95839,36
User07,3,14,primary,temperature,mae,2.3643315409682018,0.007764237374524842,2.3555002854855314,2.3700851062857415,3,114838,85
unweighted_mean,,14,primary,temperature,mae,1.8892821102086808,,,,3,,
User01,1,0,primary,humidity,mae,20.679409168036404,1.3384972104773045,19.267175499700787,21.929375091538763,3,265852,136
User02,2,0,primary,humidity,mae,21.984249528121513,0.500287684304658,21.6751157584665,22.561445093247787,3,95839,36
User07,3,0,primary,humidity,mae,10.247411370441306,0.30463557184588186,10.048856284104133,10.598154099870527,3,114838,85
unweighted_mean,,0,primary,humidity,mae,17.637023355533074,,,,3,,
User01,1,1,primary,humidity,mae,27.831496573287875,2.2766679387375737,25.203912986262054,29.216494217473198,3,265852,136
User02,2,1,primary,humidity,mae,17.28904405841806,0.4548657244863355,16.873888159285094,17.775256198050663,3,95839,36
User07,3,1,primary,humidity,mae,8.557301725143077,0.06362573883945918,8.48879843193236,8.614547039514408,3,114838,85
unweighted_mean,,1,primary,humidity,mae,17.89261411894967,,,,3,,
User01,1,3,primary,humidity,mae,34.18698577573662,1.2226971642996416,33.03066884306808,35.46670444547784,3,265852,136
User02,2,3,primary,humidity,mae,12.701214709873694,0.8353980067179131,12.027385201105936,13.635921379946982,3,95839,36
User07,3,3,primary,humidity,mae,8.346227878397928,0.04595956044504603,8.315330506179714,8.39904360197067,3,114838,85
unweighted_mean,,3,primary,humidity,mae,18.411476121336083,,,,3,,
User01,1,7,primary,humidity,mae,29.945473246830726,0.5059686481814449,29.55680087309718,30.51757207394241,3,265852,136
User02,2,7,primary,humidity,mae,14.98660332767876,0.20912290853603865,14.804560917985707,15.21502108153374,3,95839,36
User07,3,7,primary,humidity,mae,8.384021433661141,0.03219210999088209,8.362498517246268,8.421029891647864,3,114838,85
unweighted_mean,,7,primary,humidity,mae,17.77203266939021,,,,3,,
User01,1,14,primary,humidity,mae,16.02809746872887,0.4219533963899137,15.78284313086788,16.515323596853243,3,265852,136
User02,2,14,primary,humidity,mae,12.234335770444973,0.16399673497479067,12.075163270105271,12.40276466484662,3,95839,36
User07,3,14,primary,humidity,mae,8.27528387601877,0.012250691893166918,8.262391425874716,8.286771727695735,3,114838,85
unweighted_mean,,14,primary,humidity,mae,12.179239038397538,,,,3,,
