subject_id,fold,budget_nights,span,target,metric,seed_mean,seed_sd,seed_min,seed_max,n_seeds,n_windows,n_nights
User01,1,0,primary,temperature,rmse,3.7599438963115657,0.3029098590843791,3.4545021794818416,4.060256763133392,3,265852,136
User02,2,0,primary,temperature,rmse,5.3890008227604325,0.062476789465823156,5.322680213385161,5.446748355860931,3,95839,36
User07,3,0,primary,temperature,rmse,2.3735085960035067,0.19500183054343087,2.2092449698601406,2.5890151059256916,3,114838,85
unweighted_mean,,0,primary,temperature,rmse,3.8408177716918352,,,,3,,
User01,1,1,primary,temperature,rmse,3.7164705723401616,0.3335860542120134,3.3800514402621937,4.047149462387312,3,265852,136
User02,2,1,primary,temperature,rmse,4.726841428370597,0.03414364591183621,4.696777056594705,4.763961817409627,3,95839,36
User07,3,1,primary,temperature,rmse,2.5959516844351387,0.013826147895165114,2.58282437376848,2.610384116777302,3,114838,85
unweighted_mean,,1,primary,temperature,rmse,3.679754561715299,,,,3,,
User01,1,3,primary,temperature,rmse,3.376780789141639,0.13092102187265967,3.3006697959527713,3.5279541512792063,3,265852,136
User02,2,3,primary,temperature,rmse,3.3285092125930222,0.23992492540064597,3.0580212146061174,3.515629526386996,3,95839,36
User07,3,3,primary,temperature,rmse,2.829857323511416,0.004773648459866937,2.8251087822042087,2.834655689090698,3,114838,85
unweighted_mean,,3,primary,temperature,rmse,3.1783824417486923,,,,3,,
User01,1,7,primary,temperature,rmse,2.7828744044862277,0.12487094892712945,2.709980766870717,2.9270599910720945,3,265852,136
User02,2,7,primary,temperature,rmse,2.5261649677899882,0.04384466260068471,2.4756620328716794,2.5544896440031453,3,95839,36
User07,3,7,primary,temperature,rmse,2.7922918499532923,0.009944772188676705,2.7812509997133223,2.800545992938858,3,114838,85
unweighted_mean,,7,primary,temperature,rmse,2.7004437407431694,,,,3,,
User01,1,14,primary,temperature,rmse,2.1302609051152595,0.059587503580618956,2.0811377201902577,2.1965460533956476,3,265852,136
User02,2,14,primary,temperature,rmse,2.0357781325231734,0.03453193169839887,2.003643109856889,2.0722897027855236,3,95839,36
User07,3,14,primary,temperature,rmse,2.8303149147143274,0.00851396576308858,2.8204933836930333,2.835600859266719,3,114838,85
unweighted_mean,,14,primary,temperature,rmse,2.3321179841175863,,,,3,,
User01,1,0,primary,humidity,rmse,23.587964308657536,1.4821391616328918,22.05854497838365,25.017800938053398,3,265852,136
User02,2,0,primary,humidity,rmse,26.138611870817765,0.49312697822230067,25.8342973126049,26.707564907934568,3,95839,36
User07,3,0,primary,humidity,rmse,12.58725878804916,0.38479499809572265,12.348376454975675,13.031151204804658,3,114838,85
unweighted_mean,,0,primary,humidity,rmse,20.771278322508156,,,,3,,
User01,1,1,primary,humidity,rmse,30.42076196084015,2.2088679915562257,27.870417965917003,31.72604931636408,3,265852,136
User02,2,1,primary,humidity,rmse,21.29928197536232,0.5827974351864725,20.77200800288267,21.925050800742365,3,95839,36
User07,3,1,primary,humidity,rmse,10.327346125443016,0.09593033586314058,10.225754900233442,10.416378455468735,3,114838,85
unweighted_mean,,1,primary,humidity,rmse,20.68246335388183,,,,3,,
User01,1,3,primary,humidity,rmse,36.38137099647765,1.1704893755590908,35.34485716801323,37.65081010621787,3,265852,136
User02,2,3,primary,humidity,rmse,15.268022672097963,0.7396876618682889,14.66365583889657,16.09288513487783,3,95839,36
User07,3,3,primary,humidity,rmse,9.885595929120965,0.08150271214229264,9.827376240811283,9.9787412556773,3,114838,85
unweighted_mean,,3,primary,humidity,rmse,20.511663199232192,,,,3,,
User01,1,7,primary,humidity,rmse,32.13276791756807,0.4397202326033481,31.815996000158904,32.63480420322787,3,265852,136
User02,2,7,primary,humidity,rmse,18.339473412850474,0.19016397106085003,18.131039153883865,18.503512826278914,3,95839,36
User07,3,7,primary,humidity,rmse,9.970830101490089,0.056752205589570476,9.934172850574619,10.036201232257076,3,114838,85
unweighted_mean,,7,primary,humidity,rmse,20.147690477302877,,,,3,,
User01,1,14,primary,humidity,rmse,19.173803139253817,0.2268525482720161,19.040774101684192,19.435739087339467,3,265852,136
User02,2,14,primary,humidity,rmse,15.050262797213357,0.1445387747095487,14.907534010651554,15.196545996607838,3,95839,36
User07,3,14,primary,humidity,rmse,9.729644519834851,0.015691748464104493,9.712740241020402,9.74374599444042,3,114838,85
unweighted_mean,,14,primary,humidity,rmse,14.65123681876734,,,,3,,
